"institution","collection","recordsets","recordsetQuery","institution_code","collection_code","collection_uuid","collection_lsid","collection_url","collection_catalog_url","description","descriptionForSpecialists","cataloguedSpecimens","knownToContainTypes","taxonCoverage","geographic_range","collectionExtent","contact","contact_role","contact_email","mailing_address","mailing_city","mailing_state","mailing_zip","physical_address","physical_city","physical_state","physical_zip","UniqueNameUUID","attributionLogoURL","providerManagedID","derivedFrom","sameAs","flags","portalDisplay","lat","lon"
"South Dakota State University, C. A. Taylor Herbarium","Herbarium","cb2973af-0d5a-4fbf-80ab-ec96ede33ef0","{""recordset"":""cb2973af-0d5a-4fbf-80ab-ec96ede33ef0""}","SDC<IH>","","urn:uuid:015ff749-28fd-4247-97c3-1cb5c500a550","urn:lsid:biocol.org:col:14092","","","","",NA,NA,"","","","Gary Larson","Curator","gary_larson@sdstate.edu","Dept. of Natural Resource Management, P.O. Box 2104A","Brookings","South Dakota","57007-0595","320 Agricultural Hall.","Brookings","South Dakota","57007-0595","urn:uuid:d26547cc-d4f8-4617-b8ea-df1cf6b1578a","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126005","","",44.2852,-96.6842
"Central Washington University","Herbarium","","","ELRG<IH>","","urn:uuid:017667e7-fd80-4184-92a6-63196cb9f1d1","urn:lsid:biocol.org:col:14913","http://www.cwu.edu/~biology","","","",NA,NA,"","","","Jim Johnson","Curator","jjohnson@cwu.edu","Biological Sciences Department","Ellensburg","Washington","98926-7537","Sciences Building.","Ellensburg","Washington","98926-7537","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124218","","",47.0281,-120.49
"U.S. National Park Service at the George Washington Memorial Parkway Headquarters","Entomology","","","","","urn:uuid:01c1679e-1b2f-4a6f-bb7e-4ba6a41ee92b","","","","","",NA,NA,"","","","Erik Oberg","Park Biologist","erik_oberg@nps.gov","700 George Washington Memorial Parkway ","McLean","Virginia","22101","700 George Washington Memorial Parkway ","McLean","Virginia","22101","","","","","","","",38.9635,-77.1542
"Auburn University Museum of Natural History","Arachnids and Myriapods","","","","","urn:uuid:01e7757d-93c8-4235-811a-2751513eb6ea","","http://aumnh.org/research-collections/arachnids-myriapods/","","","",NA,NA,"","","","Jason E. Bond","Director","Jbond@auburn.edu","Biological Sciences Department, 101 Rouse Life Sciences Bldg.","Auburn","Alabama","36849","Biodiversity Learning Center","Auburn","Alabama","36849","urn:uuid:af9c8f12-b4cc-4de4-9e45-be50ab2e4812","","","","","","",32.3016,-85.1757
"California State University, San Bernardino","Herbarium","","","CSUSB<IH>","","urn:uuid:0242b632-7f8a-4ceb-960d-c278e19976fb","","Http://biology.csusb.edu/herbarium/","","","",NA,NA,"","","","Kimberlyn Williams","Curator","Williams@csusb.edu","Biology Department, 5500 University Parkway","San Bernardino","California","92407","","San Bernardino","California","92407","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=169575","","",34.2122,-117.3811
"Luther College","Entomology","","","","","urn:uuid:02675585-57e9-4418-97f3-fd72176df6dd","","","","A research insect collection of around 10,000 specimens with a special focus on insects of the driftless region in NE Iowa, with state record specimens, along with extensive butterfly, moth, bee and ground beetle sections of this collection","",NA,NA,"","NE Iowa","10,000","Kirk Larsen","","larsenkj@luther.edu","Biology Department","Decorah","Iowa","52101-1045","","Decorah","Iowa","52101-1045","urn:uuid:7bd84ca8-02d2-4b88-9e57-6dee10b49cca","","","","","","",43.2943,-91.7896
"Oregon State University, Department of Fisheries Wildlife's Birds, Mammals, and Fishes Collections","Birds","","","OSU","","urn:uuid:0284af4b-4eb5-490e-8b01-e2813d7903a0","","http://catalog.oregonstate.edu/ChapterDetail.aspx?key=17#Section258","","Global but many Oregon and Pacific Northwest USA birds","",9000,NA,"","Global but many Oregon and Pacific Northwest USA birds","9000","Douglas Robinson","Curator","douglas.robinson@oregonstate.edu","104 Nash Hall, Department of Fisheries and Wildlife","Corvallis","Oregon","97331","104 Nash Hall, Department of Fisheries and Wildlife","Corvallis","Oregon","97331","urn:uuid:121e84fb-8c8b-45d3-b93c-6c3985f660c3","","","","","","",44.538,-123.3014
"Santa Cruz Island Reserve, UCSB Natural Reserve System","Herbarium","99e84c7d-dd3c-40d9-9526-54f4342cda95","{""recordset"":""99e84c7d-dd3c-40d9-9526-54f4342cda95""}","SCIR<IH>","","urn:uuid:028ba775-0c54-4ae4-a6eb-c9a3d1b95af6","","http://santacruz.nrs.ucsb.edu","","Santa Cruz Island Reserve is part of the University of California Natural Reserve System, located on Santa Cruz Island, CA. SCIR Herbarium was created from in field collections by various collectors on Santa Cruz Island, CA beginning in the 1960's. Specimens are currently located at the Santa Cruz Island Reserve Field Station and will be transported for permanent preservation to the UCSB CCBER Museum in 2018.","",3000,NA,"","Santa Cruz Island, California","3000","Lynn McLaren-Dewey","Administrative Assistant","mclaren@ucsb.edu","MSRB 520, Room 2314, Mail Code: 6150","Santa Barbara","California","93016-6150","MSRB 520, Room 2314, Mail Code: 6150","Santa Barbara","California","93016-6150","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=244520","","",34.414,-119.8489
"USDA/ARS, National Rhizobium Germplasm Collection","","","","BRCC","","urn:uuid:029275c1-4b9a-4db7-a3d1-641905a5ba4e","","http://www.ars.usda.gov/is/np/systematics/rhizobium.htm","","","",NA,NA,"","","","Patrick Elia","","Patrick.Elia@ars.usda.gov","10300 Baltimore Boulevard, Building 011, Room 19-9","Beltsville","Maryland","20705","10300 Baltimore Boulevard, Building 011, Room 19-9","Beltsville","Maryland","20705","","","","","","","",39.036,-76.9055
"University of Guam Marine Laboratory","Fishes","","","","UG","urn:uuid:02a3e8ae-6c29-11e5-bdab-180373b97bac","","","","Coral reef fishes. Collection is currently being rebuild to include existing marine and freshwater specimens, Bar Code of Fishes voucher specimens, and new specimens including pelagic and midwater species. Web sites to be developed soon. Western Indo-Pacific","",NA,NA,"Coral reef fishes. Collection is currently being rebuild to include existing marine and freshwater specimens, Bar Code of Fishes voucher specimens, and new specimens including pelagic and midwater species. Web sites to be developed soon.","Western Indo-Pacific","","Dr. Terry J. Donaldson","Curator","tdonaldson@triton.uog.edu","University of Guam Marine Laboratory, UOG Station","Mangilao","Guam USA","96923","c/o 303 University Drive","Mangilao","Guam USA","96923","","","","","","","",13.4335,144.7989
"Natural History Museum of Los Angeles County","Echinoderm","","","","","urn:uuid:02b3444a-5f52-4a2c-aea8-5787fa610ea7","","http://www.nhm.org/site/research-collections/echinoderms","","","",NA,NA,"","","","Gordon Hendler","Curator","hendler@nhm.org","900 Exposition Boulevard","Los Angeles","California","90007","900 Exposition Boulevard","Los Angeles","California","90007","urn:uuid:4c545642-5064-44c1-bb31-7a5ccc1674a3","","","","","","",34.0181,-118.289
"College of the Atlantic, Acadia National Park Herbarium","Herbarium","ff0d1543-247c-4039-a8ff-cf4fc224c449","{""recordset"":""ff0d1543-247c-4039-a8ff-cf4fc224c449""}","HCOA<IH>","","urn:uuid:02f6f5ab-21b4-4dff-90d3-8bd278b1ff0e","urn:lsid:biocol.org:col:12873","http://www.coa.edu/herbarium.htm","","","",NA,NA,"","","","Susanne Morse","","smorse@coa.edu","105 Eden Street","Bar Harbor","Maine","04609-0000","105 Eden Street","Bar Harbor","Maine","04609-0000","urn:uuid:64ef6dc5-eeb3-40ff-b2d2-80c7a99ebf5c","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124313","","",44.3924,-68.2201
"Michigan State University, Herbarium","Herbarium","181352ea-3598-4f32-b919-c8f6097f4c65, 05c029de-734c-450a-a41a-56061b7ebb18, f4bec217-9676-4fc0-be90-856b4b89d4d1, 196c4f1c-53f9-480f-a012-dc0522629047, 25cd5e12-7830-4f46-bf6d-9b6deb706f44","{""recordset"":[""181352ea-3598-4f32-b919-c8f6097f4c65"",""05c029de-734c-450a-a41a-56061b7ebb18"",""f4bec217-9676-4fc0-be90-856b4b89d4d1"",""196c4f1c-53f9-480f-a012-dc0522629047"",""25cd5e12-7830-4f46-bf6d-9b6deb706f44""]}","MSC<IH>","","urn:uuid:031969a0-48de-480e-aba5-156c54f0ed9a","urn:lsid:biocol.org:col:15587","http://www.herbarium.msu.edu/","","Worldwide, especially vascular plants of North America, Bahama Islands, Mexico, Guatemala, and Borneo; lichens and some bryophytes of North America, Patagonia and Straits of Magellan, island groups of sub-Antarctic, West Indies, Juan Fernandez Islands, Canary Islands, and Australasia.","",560000,NA,"Worldwide, especially vascular plants of North America, Bahama Islands, Mexico, Guatemala, and Borneo; lichens and some bryophytes of North America, Patagonia and Straits of Magellan, island groups of sub-Antarctic, West Indies, Juan Fernandez Islands, Canary Islands, and Australasia.","","560000","L. Alan Prather","Director","alan@msu.edu","Department of Plant Biology, 612 Wilson Rd., Room 166","East Lansing","Michigan","48824","Department of Plant Biology, 612 Wilson Rd., Room 166","East Lansing","Michigan","48824","urn:uuid:d0e33f75-e7b5-46e2-a80b-3d087fd452d9","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125248","","",43.3993,-84.6126
"Chicago Academy of Sciences","Plants","d14d21fe-da24-47e5-81fb-4bfe962ce828","{""recordset"":""d14d21fe-da24-47e5-81fb-4bfe962ce828""}","CHAS","Plant specimens","urn:uuid:0336ef27-b97e-45f5-be30-d3ef4703aea9","http://biocol.org/urn:lsid:biocol.org:col:12798","http://www.naturemuseum.org/the-museum/collections/plants","http://arctos.database.museum/","The CHAS Botany Collection focuses on vascular species of North America, particularly the Midwest/Great Lakes region, from 1834 to the present. There are also a small number of lichen and bryophyte specimens, as well as vascular species from South America and Europe. Over 15,000 specimens have been digitally inventoried and 2,000 have been imaged. The un-digitized backlog is estimated to be approximately 5,000 sheets. Notable collectors include: Henry H. Babcock, H. R. Bennett, A. Chase, W. P. Conant, George B. Grant, F. H. Hosford, H. F. Jaeger, Anna Pederson Kummer, C. G. Lloyd, W. S. Moffatt, E. L. Moseley, Walter L. Necker, E. Palmer, R. S. Schmidt, E. Stimpson, F. A. Swink, L. M. Umbach, H. Van Heurck, Dora Wilken, J. Wolfe, Elizabeth Emerson Atwater, W. W. Calkins, and Herman Silas Pepoon.","",15500,NA,"vascular plants; lichens; mosses","North America, particularly the Midwest / Great Lakes region","15,500","Dawn Roberts","Director of Collections","droberts@naturemuseum.org","2430 North Cannon Drive","Chicago","Illinois","60614","Museum Collections and Archives, 2430 North Cannon Drive","Chicago","Illinois","60614","urn:uuid:93877ee6-76bc-4ca0-8ee6-7eae72061ed6","","","","","","",41.9146,-87.6276
"Henderson State University","Herbarium","","","HEND<IH>","","urn:uuid:0340d2d6-f7af-49b3-8548-db1169387688","urn:lsid:biocol.org:col:13220","","","","",NA,NA,"","","","Brett Servis","Curator","servisb@hsu.edu","Biology Department, Box H-7570","Arkadelphia","Arkansas","71999-0001","Reynolds Science Center 210","Arkadelphia","Arkansas","71999-0001","urn:uuid:3fa958cb-276b-4270-9a4d-c5cdd8a0c5c2","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124736","","",34.5334,-93.0541
"University of Alaska Museum of the North","Herpetology","061dfaff-0c45-459e-ac56-738fe4cbe213","{""recordset"":""061dfaff-0c45-459e-ac56-738fe4cbe213""}","UAM","","urn:uuid:03588c24-fe50-11e4-ac7a-002315492bbc","http://grbio.org/cool/bdpq-9f34","http://www.uaf.edu/museum/collections/aqua/","http://arctos.database.museum/uam_herp","","",NA,NA,"","","","J. Andrés López","Curator","jalopez2@alaska.edu","PO Box 756960, 907 Yukon Drive","Fairbanks","Alaska","99775-6960","907 Yukon Drive","Fairbanks","Alaska","99775-6960","urn:uuid:447d59d3-b1e3-4419-a2a9-ea5b36b3f26e","","","","","","",64.858,-147.8261
"University of New Mexico, Museum of Southwestern Biology","Herbarium","96662fa9-ff60-495b-912a-284f3b98ed72","{""recordset"":""96662fa9-ff60-495b-912a-284f3b98ed72""}","UNM<IH>","","urn:uuid:035abfab-8a24-4287-87d8-51793854a744","urn:lsid:biocol.org:col:15401","http://msb.unm.edu/herbarium/index.html","http://swbiodiversity.unm.edu/","The UNM Herbarium has particularly large holdings of Asteraceae and Cactaceae. American Southwest with emphasis on New Mexico.","",130000,NA,"The UNM Herbarium has particularly large holdings of Asteraceae and Cactaceae.","American Southwest with emphasis on New Mexico.","130000","Timothy K. Lowrey","Curator","tlowrey@unm.edu","Museum of Southwestern Biology, MSC03 2020, University of New Mexico","Albuquerque","New Mexico","87131-0001","Museum of Southwestern Biology, MSC03 2020, University of New Mexico","Albuquerque","New Mexico","87131-0001","urn:uuid:83441270-bc50-4e1d-9eb9-42d4e3255bf4","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126757","","",35.0832,-106.6218
"Berea College, Ralph L. Thompson Herbarium","Herbarium","ef59f7cc-ed42-45fc-9abc-5edfb2c8caec","{""recordset"":""ef59f7cc-ed42-45fc-9abc-5edfb2c8caec""}","BEREA<IH>","","urn:uuid:036a6a24-2dd9-478c-ac03-9d4b8355ee94","urn:lsid:biocol.org:col:12653","","","","",NA,NA,"","","","Brad Ruhfel","","brad.ruhfel@eku.edu","Biology Department, College P.O. 2121","Berea","Kentucky","40404","","Berea","Kentucky","40404","urn:uuid:cdf0b3a7-084b-45ab-b05f-ecd9fed62d58","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124042","","",37.5735,-84.2908
"University of Massachusetts Amherst","Birds","","","","","urn:uuid:0370ffc7-5192-499d-94fc-b7229d0f94b6","","http://bcrc.bio.umass.edu/ummnh/birds.htm","","","",NA,NA,"","","","Jeff Podos","Curator","jpodos@bio.umass.edu","Room 146 Morrill 2, 611 North Pleasant St","Amherst","Massachusetts","01003-0000","Room 146 Morrill 2, 611 North Pleasant St","Amherst","Massachusetts","01003-0000","urn:uuid:84cbe708-9ca4-4477-8a07-c26c3e9f45fa","","","","","","",42.3908,-72.5251
"Scripps Institution of Oceanography","Benthic Invertebrates","","","SIO","BIC","urn:uuid:03a77b4a-fda9-4b1e-ad2b-62349d08c684","http://grbio.org/cool/t8vy-919z","https://scripps.ucsd.edu/collections/bi","https://sioapps.ucsd.edu/collections/bi/","The Scripps Institution of Oceanography Benthic Invertebrate Collection (SIO BIC) is a research and teaching collection sourced through Scripps scientists, external researchers, and private collectors. SIO BIC holds approximately 45,000 lots with broad taxonomic and geographical coverage.","",45000,TRUE,"Taxonomic strengths include mollusks, crustaceans, annelids, and echinoderms, with all major marine invertebrate groups represented.","The geographic scope includes global marine benthic habitats, with strengths in the southern California region, eastern Pacific, Antarctica, deep sea (>1,000 m), and reducing ecosystems (vents, seeps, whalefalls).","750,000+ specimens 45,000+ lots","Greg Rouse","Curator","grouse@ucsd.edu","9500 Gilman Drive # 0244, University of California San Diego","La Jolla","California","92093-0244","8675 Discovery Way","La Jolla","California","92037","","","","","","","",32.8653,-117.253
"University of Wisconsin, Zoological Museum","Wisconsin Crayfish","","","","","urn:uuid:0416d23f-5b8b-453b-9311-973c21fc2559","","http://www.zoology.wisc.edu/uwzm/collections.html","","","",NA,NA,"","","","Laura A. Halverson Monahan","Curator of Collections","lahalverson@wisc.edu","L.E. Noland Zoology Building , 250 North Mills Street","Madison","Wisconsin","53706","250 North Mills Street","Madison","Wisconsin","53706","urn:uuid:863a8746-d0c0-4f63-8ea4-1101e28a9fa6","","","","","","",43.0718,-89.4042
"Buffalo Museum of Science","Geology","","","","","urn:uuid:0447e8aa-58b0-4430-b349-4cb50f4ed9e1","","http://www.sciencebuff.org/collections/research-collections/geology/","","","",NA,NA,"","","","Richard S. Laub","Curator","rlaub@sciencebuff.org","1020 Humboldt Parkway","Buffalo","New York","14211","1020 Humboldt Parkway","Buffalo","New York","14211","","","","","","","",42.908,-78.8431
"Campbell University","Herbarium","6f470382-cb0b-4634-a796-2248bfa97fdc","{""recordset"":""6f470382-cb0b-4634-a796-2248bfa97fdc""}","CAU<IH>","","urn:uuid:044d5a80-cb0e-471c-b9b9-527c79bde430","","","","","",NA,NA,"","","","J. Havran","Curator","havran@campbell.edu","Department of Biology, 205 Day Dorm Road","Buies Creek","North Carolina","27506","205 Day Dorm Road","Buies Creek","North Carolina","27506","urn:uuid:bb023602-f2cd-46fa-91a1-600186e01ad9","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=168904","","",35.4105,-78.7404
"Grand Valley State University","Herbarium","6e922c92-b37d-4c46-8982-19d945ff8fd1","{""recordset"":""6e922c92-b37d-4c46-8982-19d945ff8fd1""}","GVSC<IH>","","urn:uuid:0467de28-b5d7-43e4-bc74-8e384d356d96","urn:lsid:biocol.org:col:13132","","","","",NA,NA,"","","","Timothy M. Evans","Curator","evanstim@gvsu.edu","Biology Department, 1 Campus Dr.","Allendale","Michigan","49401-9403","1 Campus Dr.","Allendale","Michigan","49401-9403","urn:uuid:d839a491-de18-4701-8384-c1e1be4464d3","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124639","","",42.9645,-85.89
"Arizona State University","Mammalogy","86b1f54d-ac01-4c5e-8ed8-09da2689c7a9","{""recordset"":""86b1f54d-ac01-4c5e-8ed8-09da2689c7a9""}","ASU","","urn:uuid:046cee40-7617-4971-8580-e5784d88ef13","","http://nhc.asu.edu/zoology/mammals","http://swbiodiversity.org/seinet/index.php","","",NA,NA,"","","","Thomas Dowling","Interim Curator","thomas.dowling@asu.edu","School of Life Sciences, P.O. Box 874501","Tempe","Arizona","85287-4501","School of Life Sciences, P.O. Box 874501","Tempe","Arizona","85287-4501","urn:uuid:313ac73c-6372-41a6-a1da-bf270c2b1b2e","","","","","","",33.4285,-111.9349
"Academy of Natural Sciences of Drexel University","Entomology","e73fedf0-90ee-4c6d-88dd-49399878fc54, 5975bbda-cd92-4084-8a09-ce1e28e6164f","[{""recordset"":""e73fedf0-90ee-4c6d-88dd-49399878fc54""},{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""ansp""}]","ANSP","","urn:uuid:048130fb-f013-4297-abfe-648a2bf4b28e","","http://www.ansp.org/research/systematics-evolution/collections/entomology/","http://clade.ansp.org/entomology/","Orthoptera, Mantodea, Phasmida, Blattodea, Lepidoptera, Protura, Diplura, Historical (Type), Nearctic Aquatic Insects, Diptera (Tipuloidea, Ephydridae, Chironomidae), Titian Ramsy Peale Butterfly and Moth Collection, Worldwide","",3500000,NA,"Orthoptera, Mantodea, Phasmida, Blattodea, Lepidoptera, Protura, Diplura, Historical (Type), Nearctic Aquatic Insects, Diptera (Tipuloidea, Ephydridae, Chironomidae), Titian Ramsy Peale Butterfly and Moth Collection,","Worldwide","3500000","Jon Gelhaus","Curator, Chair","jkg78@drexel.edu","Department of Entomology , 1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","Logan Square","Philadelphia","Pennsylvania","19103","urn:uuid:305b87cb-0ddf-4721-ab53-31820e511e35","","","","","","",39.958,-75.1767
"Carter County Museum","","","","CCM","","urn:uuid:048ed6f3-2c16-4947-82f6-92fdff459c30","","http://cartercountymuseum.org/about/","","","",NA,NA,"","","","","","ccmuseum@midrivers.com","306 N. Main St","Ekalaka","Montana","59324","306 N. Main St","Ekalaka","Montana","59324","","","","","","","",45.8893,-104.5487
"University of New Mexico, Museum of Southwestern Biology","Birds","011880b9-7697-4626-946f-258a68f754cb","{""recordset"":""011880b9-7697-4626-946f-258a68f754cb""}","MSB","","urn:uuid:04bcbc38-ab9a-48d8-8d52-b30589b86cd8","","http://www.msb.unm.edu/birds/index.html","http://arctos.database.museum/SpecimenSearch.cfm","","",NA,NA,"","","","Chris Witt","Curator","cwitt@unm.edu","Museum of Southwestern Biology, MSC03 2020, University of New Mexico","Albuquerque","New Mexico","87131-0001","Museum of Southwestern Biology, MSC03 2020, University of New Mexico","Albuquerque","New Mexico","87131-0001","urn:uuid:83441270-bc50-4e1d-9eb9-42d4e3255bf4","","","","","","",35.0832,-106.6218
"Buffalo Museum of Science","Invertebrate Zoology","","","BSNS","","urn:uuid:054cbf9b-47e0-4321-9bb7-ffaca3aeb598","","http://www.sciencebuff.org/collections/research-collections/invertebrate-zoology/","http://www.sciencebuff.org/collections/research-collections/invertebrate-zoology/","","",NA,NA,"","","","Mary Sahr","Research Scientist","msahr@sciencebuff.org","1020 Humboldt Parkway","Buffalo","New York","14211","1020 Humboldt Parkway","Buffalo","New York","14211","","","","","","","",42.908,-78.8431
